date,event_id,category,category_ko,brand,merchant_type,discount_pct,discount_type,views,likes
2025-08-21,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,60,3
2025-08-22,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,73,4
2025-08-23,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,29,2
2025-08-24,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,50,3
2025-08-25,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,31,1
2025-08-26,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,36,2
2025-08-27,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,27,1
2025-08-28,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,30,1
2025-08-29,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,34,1
2025-08-30,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,46,2
2025-08-31,s0001,living,리빙,롯데하이마트,브랜드,20.0,percent,28,1
2025-08-22,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,138,7
2025-08-23,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,78,3
2025-08-24,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,88,3
2025-08-25,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,54,2
2025-08-26,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,84,4
2025-08-27,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,32,1
2025-08-28,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,47,2
2025-08-29,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,41,2
2025-08-30,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,36,2
2025-08-31,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,55,3
2025-09-01,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,20,1
2025-09-02,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,22,1
2025-09-03,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,29,1
2025-09-04,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,40,1
2025-09-05,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,44,1
2025-09-06,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,45,2
2025-09-07,s0002,stay,스테이,Trip.com,브랜드,70.0,percent,22,1
2025-08-22,s0003,living,리빙,시몬스,브랜드,,bundle,62,3
2025-08-23,s0003,living,리빙,시몬스,브랜드,,bundle,67,2
2025-08-24,s0003,living,리빙,시몬스,브랜드,,bundle,44,2
2025-08-25,s0003,living,리빙,시몬스,브랜드,,bundle,21,1
2025-08-26,s0003,living,리빙,시몬스,브랜드,,bundle,34,2
2025-08-27,s0003,living,리빙,시몬스,브랜드,,bundle,40,2
2025-08-28,s0003,living,리빙,시몬스,브랜드,,bundle,27,1
2025-08-29,s0003,living,리빙,시몬스,브랜드,,bundle,47,2
2025-08-30,s0003,living,리빙,시몬스,브랜드,,bundle,25,1
2025-08-31,s0003,living,리빙,시몬스,브랜드,,bundle,25,1
2025-09-01,s0003,living,리빙,시몬스,브랜드,,bundle,25,1
2025-09-02,s0003,living,리빙,시몬스,브랜드,,bundle,19,1
2025-09-03,s0003,living,리빙,시몬스,브랜드,,bundle,28,1
2025-09-04,s0003,living,리빙,시몬스,브랜드,,bundle,28,1
2025-09-05,s0003,living,리빙,시몬스,브랜드,,bundle,25,1
2025-09-06,s0003,living,리빙,시몬스,브랜드,,bundle,22,1
2025-09-07,s0003,living,리빙,시몬스,브랜드,,bundle,26,1
2025-09-08,s0003,living,리빙,시몬스,브랜드,,bundle,25,1
2025-09-09,s0003,living,리빙,시몬스,브랜드,,bundle,26,1
2025-09-10,s0003,living,리빙,시몬스,브랜드,,bundle,18,1
2025-09-11,s0003,living,리빙,시몬스,브랜드,,bundle,12,0
2025-09-12,s0003,living,리빙,시몬스,브랜드,,bundle,17,1
2025-09-13,s0003,living,리빙,시몬스,브랜드,,bundle,37,2
2025-09-14,s0003,living,리빙,시몬스,브랜드,,bundle,26,1
2025-09-15,s0003,living,리빙,시몬스,브랜드,,bundle,19,1
2025-09-16,s0003,living,리빙,시몬스,브랜드,,bundle,14,1
2025-09-17,s0003,living,리빙,시몬스,브랜드,,bundle,15,1
2025-09-18,s0003,living,리빙,시몬스,브랜드,,bundle,30,1
2025-09-19,s0003,living,리빙,시몬스,브랜드,,bundle,31,1
2025-09-20,s0003,living,리빙,시몬스,브랜드,,bundle,26,1
2025-09-21,s0003,living,리빙,시몬스,브랜드,,bundle,30,2
2025-08-23,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,86,4
2025-08-24,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,110,5
2025-08-25,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,28,1
2025-08-26,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,36,1
2025-08-27,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,42,1
2025-08-28,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,51,2
2025-08-29,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,27,1
2025-08-30,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,33,1
2025-08-31,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,42,1
2025-09-01,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,14,1
2025-09-02,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,23,1
2025-09-03,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,43,2
2025-09-04,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,26,1
2025-09-05,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,13,0
2025-09-06,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,23,1
2025-09-07,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,23,1
2025-09-08,s0004,stay,스테이,Booking.com,브랜드,35.0,percent,29,1
2025-08-25,s0005,food,푸드,이디야커피,브랜드,30.0,percent,82,6
2025-08-26,s0005,food,푸드,이디야커피,브랜드,30.0,percent,39,3
2025-08-27,s0005,food,푸드,이디야커피,브랜드,30.0,percent,64,5
2025-08-28,s0005,food,푸드,이디야커피,브랜드,30.0,percent,64,4
2025-08-29,s0005,food,푸드,이디야커피,브랜드,30.0,percent,56,4
2025-08-30,s0005,food,푸드,이디야커피,브랜드,30.0,percent,51,4
2025-08-31,s0005,food,푸드,이디야커피,브랜드,30.0,percent,130,12
2025-09-01,s0005,food,푸드,이디야커피,브랜드,30.0,percent,56,4
2025-09-02,s0005,food,푸드,이디야커피,브랜드,30.0,percent,52,3
2025-09-03,s0005,food,푸드,이디야커피,브랜드,30.0,percent,36,2
