id,category,category_ko,brand,merchant_type,title,discount_raw,discount_pct,discount_type,period_raw,period_start,period_end,duration_days
e001,fashion,패션,ZARA,브랜드,시즌 오프 세일,40% OFF,40.0,percent,2026.05.05 - 2026.05.15,2026-05-05,2026-05-15,11
e002,fashion,패션,Nike,소상공인,위크엔드 스타일 위크,45% OFF,45.0,percent,2026.05.08 - 2026.05.23,2026-05-08,2026-05-23,16
e003,fashion,패션,MANGO,브랜드,뉴 아라이벌 컬렉션,1+1,,bundle,2026.05.12 - 2026.06.01,2026-05-12,2026-06-01,21
e004,fashion,패션,H&M,브랜드,클로짓 리프레시 이벤트,50% OFF,50.0,percent,2026.05.13 - 2026.06.07,2026-05-13,2026-06-07,26
e005,fashion,패션,adidas,브랜드,스트릿 무드 특가전,20% OFF,20.0,percent,2026.05.19 - 2026.05.29,2026-05-19,2026-05-29,11
e006,fashion,패션,GUESS,브랜드,시즌 오프 세일,20% OFF,20.0,percent,2026.05.21 - 2026.06.05,2026-05-21,2026-06-05,16
e007,fashion,패션,Uniqlo,브랜드,위크엔드 스타일 위크,30% OFF,30.0,percent,2026.05.25 - 2026.06.14,2026-05-25,2026-06-14,21
e008,fashion,패션,8seconds,브랜드,뉴 아라이벌 컬렉션,45% OFF,45.0,percent,2026.05.30 - 2026.06.24,2026-05-30,2026-06-24,26
e009,fashion,패션,New Balance,소상공인,클로짓 리프레시 이벤트,최대 70% OFF,70.0,percent,2026.05.06 - 2026.05.16,2026-05-06,2026-05-16,11
e010,fashion,패션,Levi's,브랜드,스트릿 무드 특가전,45% OFF,45.0,percent,2026.05.04 - 2026.05.19,2026-05-04,2026-05-19,16
e011,beauty,뷰티,MAC,브랜드,글로우 뷰티 위크,35% OFF,35.0,percent,2026.05.04 - 2026.05.14,2026-05-04,2026-05-14,11
e012,beauty,뷰티,Innisfree,브랜드,스킨케어 리추얼 프로모션,20% OFF,20.0,percent,2026.05.13 - 2026.05.28,2026-05-13,2026-05-28,16
e013,beauty,뷰티,Sulwhasoo,브랜드,베스트셀러 특가전,25% OFF,25.0,percent,2026.05.16 - 2026.06.05,2026-05-16,2026-06-05,21
e014,beauty,뷰티,Etude,브랜드,클린 뷰티 캠페인,최대 60% OFF,60.0,percent,2026.05.15 - 2026.06.09,2026-05-15,2026-06-09,26
e015,beauty,뷰티,The Face Shop,브랜드,메이크업 앳홈 이벤트,1+1,,bundle,2026.05.26 - 2026.06.05,2026-05-26,2026-06-05,11
e016,beauty,뷰티,Laneige,소상공인,글로우 뷰티 위크,30% OFF,30.0,percent,2026.05.23 - 2026.06.07,2026-05-23,2026-06-07,16
e017,beauty,뷰티,Nature Republic,브랜드,스킨케어 리추얼 프로모션,25% OFF,25.0,percent,2026.05.04 - 2026.05.24,2026-05-04,2026-05-24,21
e018,beauty,뷰티,Missha,브랜드,베스트셀러 특가전,35% OFF,35.0,percent,2026.05.28 - 2026.06.22,2026-05-28,2026-06-22,26
e019,beauty,뷰티,Clio,브랜드,클린 뷰티 캠페인,30% OFF,30.0,percent,2026.05.29 - 2026.06.08,2026-05-29,2026-06-08,11
e020,beauty,뷰티,Tonymoly,브랜드,메이크업 앳홈 이벤트,1+1,,bundle,2026.05.06 - 2026.05.21,2026-05-06,2026-05-21,16
e021,food,푸드,Starbucks,브랜드,시즌 음료 프로모션,최대 70% OFF,70.0,percent,2026.05.10 - 2026.05.20,2026-05-10,2026-05-20,11
e022,food,푸드,Baskin Robbins,브랜드,베이커리 위크 할인전,45% OFF,45.0,percent,2026.05.18 - 2026.06.02,2026-05-18,2026-06-02,16
e023,food,푸드,Paris Baguette,소상공인,디저트 페스타,50% OFF,50.0,percent,2026.05.21 - 2026.06.10,2026-05-21,2026-06-10,21
e024,food,푸드,Tous les Jours,브랜드,모닝 세트 스페셜,1+1,,bundle,2026.05.24 - 2026.06.18,2026-05-24,2026-06-18,26
e025,food,푸드,Ediya Coffee,브랜드,여름 시원 메뉴 이벤트,50% OFF,50.0,percent,2026.05.25 - 2026.06.04,2026-05-25,2026-06-04,11
