id,category,category_ko,brand,merchant_type,title,discount_raw,discount_pct,discount_type,period_raw,period_start,period_end,duration_days,is_real
s0001,living,리빙,롯데하이마트,브랜드,롯데하이마트 프로모션,20% OFF,20.0,percent,2025.08.21 - 2025.08.31,2025-08-21,2025-08-31,11,False
s0002,stay,스테이,Trip.com,브랜드,Trip.com 프로모션,70% OFF,70.0,percent,2025.08.22 - 2025.09.07,2025-08-22,2025-09-07,17,False
s0003,living,리빙,시몬스,브랜드,시몬스 프로모션,2+1,,bundle,2025.08.22 - 2025.09.21,2025-08-22,2025-09-21,31,False
s0004,stay,스테이,Booking.com,브랜드,Booking.com 프로모션,35% OFF,35.0,percent,2025.08.23 - 2025.09.08,2025-08-23,2025-09-08,17,False
s0005,food,푸드,이디야커피,브랜드,이디야커피 프로모션,30% OFF,30.0,percent,2025.08.25 - 2025.09.04,2025-08-25,2025-09-04,11,False
s0006,living,리빙,롯데하이마트,브랜드,롯데하이마트 프로모션,1+1,,bundle,2025.08.29 - 2025.09.12,2025-08-29,2025-09-12,15,False
s0007,food,푸드,이마트24,브랜드,이마트24 프로모션,45% OFF,45.0,percent,2025.08.30 - 2025.09.24,2025-08-30,2025-09-24,26,False
s0008,popup,팝업,마뗑킴,소상공인,마뗑킴 프로모션,55% OFF,55.0,percent,2025.08.31 - 2025.09.10,2025-08-31,2025-09-10,11,False
s0009,food,푸드,CU,브랜드,CU 프로모션,35% OFF,35.0,percent,2025.09.01 - 2025.09.11,2025-09-01,2025-09-11,11,False
s0010,beauty,뷰티,올리브영,브랜드,올리브영 프로모션,15% OFF,15.0,percent,2025.09.05 - 2025.09.20,2025-09-05,2025-09-20,16,False
s0013,delivery,딜리버리,배달특급,브랜드,배달특급 프로모션,35% OFF,35.0,percent,2025.09.06 - 2025.09.22,2025-09-06,2025-09-22,17,False
s0012,food,푸드,이디야커피,브랜드,이디야커피 프로모션,45% OFF,45.0,percent,2025.09.06 - 2025.09.21,2025-09-06,2025-09-21,16,False
s0011,fashion,패션,ZARA,브랜드,ZARA 프로모션,50% OFF,50.0,percent,2025.09.06 - 2025.09.16,2025-09-06,2025-09-16,11,False
s0014,popup,팝업,동네빵집 밀도,소상공인,동네빵집 밀도 프로모션,15% OFF,15.0,percent,2025.09.08 - 2025.09.23,2025-09-08,2025-09-23,16,False
s0015,beauty,뷰티,올리브영,브랜드,올리브영 프로모션,40% OFF,40.0,percent,2025.09.11 - 2025.09.27,2025-09-11,2025-09-27,17,False
s0016,food,푸드,세븐일레븐,브랜드,세븐일레븐 프로모션,30% OFF,30.0,percent,2025.09.12 - 2025.09.27,2025-09-12,2025-09-27,16,False
s0017,stay,스테이,Airbnb,브랜드,Airbnb 프로모션,50% OFF,50.0,percent,2025.09.14 - 2025.10.04,2025-09-14,2025-10-04,21,False
s0018,tech,테크,Xiaomi,브랜드,Xiaomi 프로모션,15% OFF,15.0,percent,2025.09.19 - 2025.09.29,2025-09-19,2025-09-29,11,False
s0019,stay,스테이,Agoda,소상공인,Agoda 프로모션,40% OFF,40.0,percent,2025.09.22 - 2025.10.02,2025-09-22,2025-10-02,11,False
s0020,delivery,딜리버리,배달특급,브랜드,배달특급 프로모션,35% OFF,35.0,percent,2025.09.22 - 2025.10.07,2025-09-22,2025-10-07,16,False
s0021,delivery,딜리버리,땡겨요,브랜드,땡겨요 프로모션,"최대 5,000원 할인",,amount,2025.09.23 - 2025.10.18,2025-09-23,2025-10-18,26,False
s0022,popup,팝업,탬버린즈,브랜드,탬버린즈 프로모션,15% OFF,15.0,percent,2025.09.27 - 2025.10.12,2025-09-27,2025-10-12,16,False
s0023,delivery,딜리버리,요기요,브랜드,요기요 프로모션,40% OFF,40.0,percent,2025.09.27 - 2025.10.12,2025-09-27,2025-10-12,16,False
s0025,stay,스테이,여기어때,브랜드,여기어때 프로모션,25% OFF,25.0,percent,2025.09.30 - 2025.10.10,2025-09-30,2025-10-10,11,False
s0024,stay,스테이,한화리조트,소상공인,한화리조트 프로모션,35% OFF,35.0,percent,2025.09.30 - 2025.10.15,2025-09-30,2025-10-15,16,False
s0026,fashion,패션,Levi's,브랜드,Levi's 프로모션,25% OFF,25.0,percent,2025.10.03 - 2025.10.18,2025-10-03,2025-10-18,16,False
