review_id,event_id,brand,category,category_ko,merchant_type,review_date,rating,review_text,rating_sentiment,text_sentiment
r0001,s0001,롯데하이마트,living,리빙,브랜드,2025-08-29,3,그냥 무난했어요. 재방문은 고민 중입니다.,neutral,neutral
r0002,s0002,Trip.com,stay,스테이,브랜드,2025-08-29,3,할인은 괜찮은데 대기줄이 좀 길었습니다.,neutral,negative
r0003,s0003,시몬스,living,리빙,브랜드,2025-08-24,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0004,s0004,Booking.com,stay,스테이,브랜드,2025-08-28,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0005,s0005,이디야커피,food,푸드,브랜드,2025-08-30,4,가격 대비 퀄리티 최고예요. 이디야커피 다음에도 또 이용할래요.,positive,positive
r0006,s0005,이디야커피,food,푸드,브랜드,2025-08-27,3,이디야커피 처음 이용해봤는데 보통이었어요.,neutral,neutral
r0007,s0007,이마트24,food,푸드,브랜드,2025-09-25,5,가격 대비 퀄리티 최고예요. 이마트24 다음에도 또 이용할래요.,positive,positive
r0008,s0007,이마트24,food,푸드,브랜드,2025-09-25,4,가격 대비 퀄리티 최고예요. 이마트24 다음에도 또 이용할래요.,positive,positive
r0009,s0007,이마트24,food,푸드,브랜드,2025-09-21,4,"이마트24 음식 진짜 만족스러웠어요, 45% OFF 받고 완전 이득!",positive,positive
r0010,s0007,이마트24,food,푸드,브랜드,2025-09-08,5,음식 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0011,s0008,마뗑킴,popup,팝업,소상공인,2025-09-13,4,가격 대비 퀄리티 최고예요. 마뗑킴 다음에도 또 이용할래요.,positive,positive
r0012,s0008,마뗑킴,popup,팝업,소상공인,2025-09-10,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0013,s0008,마뗑킴,popup,팝업,소상공인,2025-09-02,5,공간 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0014,s0009,CU,food,푸드,브랜드,2025-09-06,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0015,s0009,CU,food,푸드,브랜드,2025-09-12,4,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0016,s0009,CU,food,푸드,브랜드,2025-09-10,5,"CU 음식 진짜 만족스러웠어요, 35% OFF 받고 완전 이득!",positive,positive
r0017,s0009,CU,food,푸드,브랜드,2025-09-11,4,음식 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0018,s0010,올리브영,beauty,뷰티,브랜드,2025-09-11,4,"올리브영 제품 진짜 만족스러웠어요, 15% OFF 받고 완전 이득!",positive,positive
r0019,s0010,올리브영,beauty,뷰티,브랜드,2025-09-23,3,제품 나쁘지 않은데 특별히 인상적이지도 않았어요.,neutral,neutral
r0020,s0010,올리브영,beauty,뷰티,브랜드,2025-09-14,3,올리브영 처음 이용해봤는데 보통이었어요.,neutral,neutral
r0021,s0013,배달특급,delivery,딜리버리,브랜드,2025-09-24,4,배달 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0022,s0013,배달특급,delivery,딜리버리,브랜드,2025-09-09,3,배달 나쁘지 않은데 특별히 인상적이지도 않았어요.,neutral,neutral
r0023,s0012,이디야커피,food,푸드,브랜드,2025-09-22,4,"이디야커피 음식 진짜 만족스러웠어요, 45% OFF 받고 완전 이득!",positive,positive
r0024,s0011,ZARA,fashion,패션,브랜드,2025-09-13,3,할인은 괜찮은데 대기줄이 좀 길었습니다.,neutral,negative
r0025,s0011,ZARA,fashion,패션,브랜드,2025-09-09,4,ZARA 처음 이용해봤는데 보통이었어요.,positive,neutral
r0026,s0011,ZARA,fashion,패션,브랜드,2025-09-09,5,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0027,s0014,동네빵집 밀도,popup,팝업,소상공인,2025-09-15,4,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0028,s0015,올리브영,beauty,뷰티,브랜드,2025-09-15,5,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0029,s0015,올리브영,beauty,뷰티,브랜드,2025-09-14,3,제품 나쁘지 않은데 특별히 인상적이지도 않았어요.,neutral,neutral
