review_id,event_id,brand,category,category_ko,merchant_type,review_date,rating,review_text,rating_sentiment,text_sentiment
r0001,e001,ZARA,fashion,패션,브랜드,2026-05-07,4,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0002,e001,ZARA,fashion,패션,브랜드,2026-05-16,5,기대했던 것보다 별로였어요. 옷 아쉬웠습니다.,positive,negative
r0003,e002,Nike,fashion,패션,소상공인,2026-05-28,4,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0004,e004,H&M,fashion,패션,브랜드,2026-06-06,4,가격 대비 퀄리티 최고예요. H&M 다음에도 또 이용할래요.,positive,positive
r0005,e004,H&M,fashion,패션,브랜드,2026-05-16,4,"H&M 옷 진짜 만족스러웠어요, 50% OFF 받고 완전 이득!",positive,positive
r0006,e004,H&M,fashion,패션,브랜드,2026-06-11,4,가격 대비 퀄리티 최고예요. H&M 다음에도 또 이용할래요.,positive,positive
r0007,e004,H&M,fashion,패션,브랜드,2026-06-07,5,가격 대비 퀄리티 최고예요. H&M 다음에도 또 이용할래요.,positive,positive
r0008,e004,H&M,fashion,패션,브랜드,2026-06-11,4,옷 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0009,e004,H&M,fashion,패션,브랜드,2026-05-24,4,"H&M 옷 진짜 만족스러웠어요, 50% OFF 받고 완전 이득!",positive,positive
r0010,e004,H&M,fashion,패션,브랜드,2026-05-14,5,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0011,e004,H&M,fashion,패션,브랜드,2026-05-19,4,"H&M 옷 진짜 만족스러웠어요, 50% OFF 받고 완전 이득!",positive,positive
r0012,e005,adidas,fashion,패션,브랜드,2026-05-22,5,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0013,e007,Uniqlo,fashion,패션,브랜드,2026-05-28,5,옷 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0014,e008,8seconds,fashion,패션,브랜드,2026-06-04,3,8seconds 처음 이용해봤는데 보통이었어요.,neutral,neutral
r0015,e008,8seconds,fashion,패션,브랜드,2026-06-20,4,"8seconds 옷 진짜 만족스러웠어요, 45% OFF 받고 완전 이득!",positive,positive
r0016,e008,8seconds,fashion,패션,브랜드,2026-06-13,5,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0017,e010,Levi's,fashion,패션,브랜드,2026-05-05,4,옷 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0018,e010,Levi's,fashion,패션,브랜드,2026-05-11,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0019,e010,Levi's,fashion,패션,브랜드,2026-05-11,5,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0020,e010,Levi's,fashion,패션,브랜드,2026-05-24,4,할인은 괜찮은데 대기줄이 좀 길었습니다.,positive,negative
r0021,e010,Levi's,fashion,패션,브랜드,2026-05-21,4,"Levi's 옷 진짜 만족스러웠어요, 45% OFF 받고 완전 이득!",positive,positive
r0022,e011,MAC,beauty,뷰티,브랜드,2026-05-12,5,제품 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0023,e011,MAC,beauty,뷰티,브랜드,2026-05-11,4,"MAC 제품 진짜 만족스러웠어요, 35% OFF 받고 완전 이득!",positive,positive
r0024,e011,MAC,beauty,뷰티,브랜드,2026-05-15,5,가격 대비 퀄리티 최고예요. MAC 다음에도 또 이용할래요.,positive,positive
r0025,e012,Innisfree,beauty,뷰티,브랜드,2026-05-22,5,"Innisfree 제품 진짜 만족스러웠어요, 20% OFF 받고 완전 이득!",positive,positive
r0026,e013,Sulwhasoo,beauty,뷰티,브랜드,2026-05-18,4,가격 대비 퀄리티 최고예요. Sulwhasoo 다음에도 또 이용할래요.,positive,positive
r0027,e013,Sulwhasoo,beauty,뷰티,브랜드,2026-05-20,4,"Sulwhasoo 제품 진짜 만족스러웠어요, 25% OFF 받고 완전 이득!",positive,positive
r0028,e014,Etude,beauty,뷰티,브랜드,2026-05-22,4,제품 나쁘지 않은데 특별히 인상적이지도 않았어요.,positive,neutral
r0029,e014,Etude,beauty,뷰티,브랜드,2026-06-13,5,제품 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0030,e014,Etude,beauty,뷰티,브랜드,2026-06-02,4,"Etude 제품 진짜 만족스러웠어요, 최대 60% OFF 받고 완전 이득!",positive,positive
r0031,e014,Etude,beauty,뷰티,브랜드,2026-06-14,4,"Etude 제품 진짜 만족스러웠어요, 최대 60% OFF 받고 완전 이득!",positive,positive
r0032,e014,Etude,beauty,뷰티,브랜드,2026-05-29,4,가격 대비 퀄리티 최고예요. Etude 다음에도 또 이용할래요.,positive,positive
r0033,e014,Etude,beauty,뷰티,브랜드,2026-06-03,4,"Etude 제품 진짜 만족스러웠어요, 최대 60% OFF 받고 완전 이득!",positive,positive
r0034,e015,The Face Shop,beauty,뷰티,브랜드,2026-06-01,4,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0035,e016,Laneige,beauty,뷰티,소상공인,2026-05-29,3,제품 나쁘지 않은데 특별히 인상적이지도 않았어요.,neutral,neutral
r0036,e017,Nature Republic,beauty,뷰티,브랜드,2026-05-23,4,"Nature Republic 제품 진짜 만족스러웠어요, 25% OFF 받고 완전 이득!",positive,positive
r0037,e019,Clio,beauty,뷰티,브랜드,2026-05-30,5,"Clio 제품 진짜 만족스러웠어요, 30% OFF 받고 완전 이득!",positive,positive
r0038,e019,Clio,beauty,뷰티,브랜드,2026-06-02,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0039,e020,Tonymoly,beauty,뷰티,브랜드,2026-05-15,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0040,e020,Tonymoly,beauty,뷰티,브랜드,2026-05-18,5,제품 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0041,e020,Tonymoly,beauty,뷰티,브랜드,2026-05-19,4,직원 응대가 다소 불친절했어요.,positive,neutral
r0042,e021,Starbucks,food,푸드,브랜드,2026-05-19,5,음식 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
r0043,e021,Starbucks,food,푸드,브랜드,2026-05-24,5,"Starbucks 음식 진짜 만족스러웠어요, 최대 70% OFF 받고 완전 이득!",positive,positive
r0044,e021,Starbucks,food,푸드,브랜드,2026-05-11,4,가격 대비 퀄리티 최고예요. Starbucks 다음에도 또 이용할래요.,positive,positive
r0045,e021,Starbucks,food,푸드,브랜드,2026-05-21,5,이 정도 할인이면 무조건 가야죠. 강력 추천합니다!,positive,positive
r0046,e021,Starbucks,food,푸드,브랜드,2026-05-15,4,성수동에서 이런 이벤트 찾기 힘든데 완전 만족했어요.,positive,positive
r0047,e022,Baskin Robbins,food,푸드,브랜드,2026-05-23,4,음식 상태도 좋고 직원분도 친절해서 기분 좋게 다녀왔습니다.,positive,positive
