date,active_events,new_events,ended_events,avg_discount_pct,active_brand,active_merchant,active_beauty,active_delivery,active_fashion,active_food,active_living,active_popup,active_stay,active_tech,weekday,weekday_ko,ma7_active,merchant_share
2026-05-01,3,3,0,30.0,3,0,0,0,0,1,2,0,0,0,4,금,3.0,0.0
2026-05-02,5,2,0,34.0,5,0,0,1,0,1,2,0,1,0,5,토,4.0,0.0
2026-05-03,8,3,0,40.0,8,0,0,1,0,2,2,0,1,2,6,일,5.333333333333333,0.0
2026-05-04,12,4,0,38.333333333333336,11,1,2,1,1,2,2,0,2,2,0,월,7.0,0.08333333333333333
2026-05-05,14,2,0,38.57142857142857,13,1,2,1,2,2,3,0,2,2,1,화,8.4,0.07142857142857142
2026-05-06,18,4,0,40.9375,16,2,3,2,3,2,3,0,3,2,2,수,10.0,0.1111111111111111
2026-05-07,19,1,0,40.88235294117647,17,2,3,3,3,2,3,0,3,2,3,목,11.285714285714286,0.10526315789473684
2026-05-08,22,3,0,41.31578947368421,19,3,3,3,4,2,4,0,3,3,4,금,14.0,0.13636363636363635
2026-05-09,25,3,0,41.59090909090909,22,3,3,3,4,3,4,0,4,4,5,토,16.857142857142858,0.12
2026-05-10,26,1,0,42.82608695652174,23,3,3,3,4,4,4,0,4,4,6,일,19.428571428571427,0.11538461538461539
2026-05-11,27,1,1,43.125,24,3,3,4,4,4,4,0,4,4,0,월,21.571428571428573,0.1111111111111111
2026-05-12,29,3,1,42.916666666666664,25,4,3,4,5,5,4,0,4,4,1,화,23.714285714285715,0.13793103448275862
2026-05-13,30,2,1,42.2,26,4,4,4,6,5,4,0,3,4,2,수,25.428571428571427,0.13333333333333333
2026-05-14,29,0,2,41.875,25,4,4,4,6,5,4,0,3,3,3,목,26.857142857142858,0.13793103448275862
2026-05-15,29,2,2,43.958333333333336,26,3,4,4,6,5,5,0,2,3,4,금,27.857142857142858,0.10344827586206896
2026-05-16,29,2,4,44.583333333333336,26,3,5,4,5,5,4,0,2,4,5,토,28.428571428571427,0.10344827586206896
2026-05-17,26,1,1,45.95238095238095,24,2,5,3,4,4,3,0,2,5,6,일,28.428571428571427,0.07692307692307693
2026-05-18,27,2,2,45.90909090909091,25,2,5,2,4,5,3,0,3,5,0,월,28.428571428571427,0.07407407407407407
2026-05-19,27,2,2,43.91304347826087,25,2,5,2,5,5,3,0,4,3,1,화,28.142857142857142,0.07407407407407407
2026-05-20,27,2,1,45.21739130434783,25,2,5,2,4,4,3,0,6,3,2,수,27.714285714285715,0.07407407407407407
2026-05-21,31,5,2,43.333333333333336,28,3,5,2,5,4,4,0,6,5,3,목,28.0,0.0967741935483871
2026-05-22,32,3,1,42.166666666666664,28,4,4,3,5,4,6,0,5,5,4,금,28.428571428571427,0.125
2026-05-23,33,2,2,41.12903225806452,27,6,5,2,5,4,6,0,5,6,5,토,29.0,0.18181818181818182
2026-05-24,34,3,3,40.333333333333336,28,6,5,4,4,5,5,0,5,6,6,일,30.142857142857142,0.17647058823529413
2026-05-25,34,3,0,39.5,28,6,4,4,5,6,5,0,4,6,0,월,31.142857142857142,0.17647058823529413
2026-05-26,36,2,0,39.03225806451613,30,6,5,5,5,6,5,0,4,6,1,화,32.42857142857143,0.16666666666666666
