date,event_id,category,category_ko,brand,merchant_type,discount_pct,discount_type,views,likes
2026-05-05,e001,fashion,패션,ZARA,브랜드,40.0,percent,85,5
2026-05-06,e001,fashion,패션,ZARA,브랜드,40.0,percent,91,6
2026-05-07,e001,fashion,패션,ZARA,브랜드,40.0,percent,32,2
2026-05-08,e001,fashion,패션,ZARA,브랜드,40.0,percent,72,5
2026-05-09,e001,fashion,패션,ZARA,브랜드,40.0,percent,73,4
2026-05-10,e001,fashion,패션,ZARA,브랜드,40.0,percent,84,6
2026-05-11,e001,fashion,패션,ZARA,브랜드,40.0,percent,42,3
2026-05-12,e001,fashion,패션,ZARA,브랜드,40.0,percent,43,2
2026-05-13,e001,fashion,패션,ZARA,브랜드,40.0,percent,42,2
2026-05-14,e001,fashion,패션,ZARA,브랜드,40.0,percent,51,3
2026-05-15,e001,fashion,패션,ZARA,브랜드,40.0,percent,41,2
2026-05-08,e002,fashion,패션,Nike,소상공인,45.0,percent,141,10
2026-05-09,e002,fashion,패션,Nike,소상공인,45.0,percent,80,4
2026-05-10,e002,fashion,패션,Nike,소상공인,45.0,percent,90,4
2026-05-11,e002,fashion,패션,Nike,소상공인,45.0,percent,55,3
2026-05-12,e002,fashion,패션,Nike,소상공인,45.0,percent,86,6
2026-05-13,e002,fashion,패션,Nike,소상공인,45.0,percent,33,2
2026-05-14,e002,fashion,패션,Nike,소상공인,45.0,percent,48,2
2026-05-15,e002,fashion,패션,Nike,소상공인,45.0,percent,42,2
2026-05-16,e002,fashion,패션,Nike,소상공인,45.0,percent,37,2
2026-05-17,e002,fashion,패션,Nike,소상공인,45.0,percent,57,4
2026-05-18,e002,fashion,패션,Nike,소상공인,45.0,percent,20,1
2026-05-19,e002,fashion,패션,Nike,소상공인,45.0,percent,22,1
2026-05-20,e002,fashion,패션,Nike,소상공인,45.0,percent,30,1
2026-05-21,e002,fashion,패션,Nike,소상공인,45.0,percent,41,2
2026-05-22,e002,fashion,패션,Nike,소상공인,45.0,percent,45,2
2026-05-23,e002,fashion,패션,Nike,소상공인,45.0,percent,46,3
2026-05-12,e003,fashion,패션,MANGO,브랜드,,bundle,42,3
2026-05-13,e003,fashion,패션,MANGO,브랜드,,bundle,54,3
2026-05-14,e003,fashion,패션,MANGO,브랜드,,bundle,53,2
2026-05-15,e003,fashion,패션,MANGO,브랜드,,bundle,46,2
2026-05-16,e003,fashion,패션,MANGO,브랜드,,bundle,37,2
2026-05-17,e003,fashion,패션,MANGO,브랜드,,bundle,60,3
2026-05-18,e003,fashion,패션,MANGO,브랜드,,bundle,48,2
2026-05-19,e003,fashion,패션,MANGO,브랜드,,bundle,29,2
2026-05-20,e003,fashion,패션,MANGO,브랜드,,bundle,45,2
2026-05-21,e003,fashion,패션,MANGO,브랜드,,bundle,22,1
2026-05-22,e003,fashion,패션,MANGO,브랜드,,bundle,29,1
2026-05-23,e003,fashion,패션,MANGO,브랜드,,bundle,48,3
2026-05-24,e003,fashion,패션,MANGO,브랜드,,bundle,35,2
2026-05-25,e003,fashion,패션,MANGO,브랜드,,bundle,36,2
2026-05-26,e003,fashion,패션,MANGO,브랜드,,bundle,32,1
