date,active_events,new_events,ended_events,avg_discount_pct,active_brand,active_merchant,active_beauty,active_delivery,active_fashion,active_food,active_living,active_popup,active_stay,active_tech,weekday,weekday_ko,ma7_active,merchant_share,total_views,total_likes,views_beauty,views_delivery,views_fashion,views_food,views_living,views_popup,views_stay,views_tech,views_brand,views_merchant,review_count,avg_rating,rating_sum,review_positive,review_neutral,review_negative,ma7_views,like_rate,review_positive_ratio,avg_rating_7d
2026-05-01,3,3,0,30.0,3,0,0,0,0,1,2,0,0,0,4,금,3.0,0.0,183.0,10.0,0.0,0.0,0.0,88.0,95.0,0.0,0.0,0.0,183.0,0.0,0.0,,0.0,0.0,0.0,0.0,183.0,0.0546448087431694,,
2026-05-02,5,2,0,34.0,5,0,0,1,0,1,2,0,1,0,5,토,4.0,0.0,457.0,25.0,0.0,121.0,0.0,139.0,131.0,0.0,66.0,0.0,457.0,0.0,0.0,,0.0,0.0,0.0,0.0,320.0,0.05470459518599562,,
2026-05-03,8,3,0,40.0,8,0,0,1,0,2,2,0,1,2,6,일,5.333333333333333,0.0,795.0,40.0,0.0,193.0,0.0,238.0,109.0,0.0,67.0,188.0,795.0,0.0,0.0,,0.0,0.0,0.0,0.0,478.3333333333333,0.050314465408805034,,
2026-05-04,12,4,0,38.333333333333336,11,1,2,1,1,2,2,0,2,2,0,월,7.0,0.0833333333333333,682.0,42.0,122.0,57.0,128.0,151.0,80.0,0.0,63.0,81.0,645.0,37.0,0.0,,0.0,0.0,0.0,0.0,529.25,0.06158357771260997,,
2026-05-05,14,2,0,38.57142857142857,13,1,2,1,2,2,3,0,2,2,1,화,8.4,0.0714285714285714,741.0,42.0,109.0,37.0,212.0,97.0,124.0,0.0,52.0,110.0,704.0,37.0,2.0,4.0,8.0,2.0,0.0,0.0,571.6,0.05668016194331984,1.0,4.0
2026-05-06,18,4,0,40.9375,16,2,3,2,3,2,3,0,3,2,2,수,10.0,0.1111111111111111,972.0,57.0,170.0,148.0,255.0,107.0,119.0,0.0,100.0,73.0,860.0,112.0,2.0,3.0,6.0,0.0,2.0,0.0,638.3333333333334,0.05864197530864197,0.0,3.5
2026-05-07,19,1,0,40.88235294117647,17,2,3,3,3,2,3,0,3,2,3,목,11.285714285714286,0.1052631578947368,973.0,56.0,250.0,174.0,166.0,149.0,66.0,0.0,79.0,89.0,881.0,92.0,3.0,4.333333333333333,13.0,3.0,0.0,0.0,686.1428571428571,0.05755395683453238,1.0,3.857142857142857
2026-05-08,22,3,0,41.31578947368421,19,3,3,3,4,2,4,0,3,3,4,금,14.0,0.1363636363636363,1682.0,89.0,296.0,188.0,446.0,127.0,262.0,0.0,137.0,226.0,1353.0,329.0,1.0,4.0,4.0,1.0,0.0,0.0,900.2857142857143,0.05291319857312723,1.0,3.875
2026-05-09,25,3,0,41.59090909090909,22,3,3,3,4,3,4,0,4,4,5,토,16.857142857142858,0.12,1736.0,99.0,262.0,234.0,326.0,283.0,124.0,0.0,246.0,261.0,1540.0,196.0,1.0,5.0,5.0,1.0,0.0,0.0,1083.0,0.057027649769585256,1.0,4.0
2026-05-10,26,1,0,42.82608695652174,23,3,3,3,4,4,4,0,4,4,6,일,19.428571428571427,0.1153846153846153,1661.0,95.0,182.0,150.0,316.0,432.0,224.0,0.0,170.0,187.0,1457.0,204.0,0.0,,0.0,0.0,0.0,0.0,1206.7142857142858,0.057194461167971104,,4.0
2026-05-11,27,1,1,43.125,24,3,3,4,4,4,4,0,4,4,0,월,21.571428571428573,0.1111111111111111,1248.0,70.0,146.0,158.0,176.0,330.0,91.0,0.0,176.0,171.0,1131.0,117.0,5.0,4.2,21.0,5.0,0.0,0.0,1287.5714285714287,0.05608974358974359,1.0,4.071428571428571
2026-05-12,29,3,1,42.91666666666666,25,4,3,4,5,5,4,0,4,4,1,화,23.714285714285715,0.1379310344827586,1321.0,78.0,89.0,237.0,295.0,304.0,151.0,0.0,113.0,132.0,1069.0,252.0,2.0,4.5,9.0,2.0,0.0,0.0,1370.4285714285713,0.059046177138531414,1.0,4.142857142857143
2026-05-13,30,2,1,42.2,26,4,4,4,6,5,4,0,3,4,2,수,25.428571428571427,0.1333333333333333,1282.0,68.0,132.0,146.0,271.0,301.0,158.0,0.0,115.0,159.0,1112.0,170.0,1.0,4.0,4.0,1.0,0.0,0.0,1414.7142857142858,0.0530421216848674,1.0,4.3076923076923075
2026-05-14,29,0,2,41.875,25,4,4,4,6,5,4,0,3,3,3,목,26.857142857142858,0.1379310344827586,1226.0,74.0,204.0,202.0,274.0,237.0,126.0,0.0,78.0,105.0,1062.0,164.0,3.0,4.333333333333333,13.0,3.0,0.0,0.0,1450.857142857143,0.06035889070146819,1.0,4.3076923076923075
