date,active_events,new_events,active_brand,active_merchant,active_beauty,active_delivery,active_fashion,active_food,active_living,active_popup,active_stay,active_tech,weekday,weekday_ko,total_views,total_likes,views_beauty,views_delivery,views_fashion,views_food,views_living,views_popup,views_stay,views_tech,review_count,avg_rating,rating_sum,ma7_views,ma30_views,is_real_period,avg_rating_7d
2025-08-21,1,1,1,0,0,0,0,0,1,0,0,0,3,목,60.0,3.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,,0.0,60.0,60.0,False,
2025-08-22,3,2,3,0,0,0,0,0,2,0,1,0,4,금,273.0,14.0,0.0,0.0,0.0,0.0,135.0,0.0,138.0,0.0,0.0,,0.0,166.5,166.5,False,
2025-08-23,4,1,4,0,0,0,0,0,2,0,2,0,5,토,260.0,11.0,0.0,0.0,0.0,0.0,96.0,0.0,164.0,0.0,0.0,,0.0,197.66666666666666,197.66666666666666,False,
2025-08-24,4,0,4,0,0,0,0,0,2,0,2,0,6,일,292.0,13.0,0.0,0.0,0.0,0.0,94.0,0.0,198.0,0.0,1.0,4.0,4.0,221.25,221.25,False,4.0
2025-08-25,5,1,5,0,0,0,0,1,2,0,2,0,0,월,216.0,11.0,0.0,0.0,0.0,82.0,52.0,0.0,82.0,0.0,0.0,,0.0,220.2,220.2,False,4.0
2025-08-26,5,0,5,0,0,0,0,1,2,0,2,0,1,화,229.0,12.0,0.0,0.0,0.0,39.0,70.0,0.0,120.0,0.0,0.0,,0.0,221.66666666666666,221.66666666666666,False,4.0
2025-08-27,5,0,5,0,0,0,0,1,2,0,2,0,2,수,205.0,10.0,0.0,0.0,0.0,64.0,67.0,0.0,74.0,0.0,1.0,3.0,3.0,219.28571428571428,219.28571428571428,False,3.5
2025-08-28,5,0,5,0,0,0,0,1,2,0,2,0,3,목,219.0,10.0,0.0,0.0,0.0,64.0,57.0,0.0,98.0,0.0,1.0,4.0,4.0,242.0,219.25,False,3.6666666666666665
2025-08-29,6,1,6,0,0,0,0,1,3,0,2,0,4,금,267.0,13.0,0.0,0.0,0.0,56.0,143.0,0.0,68.0,0.0,2.0,3.0,6.0,241.14285714285714,224.55555555555554,False,3.4
2025-08-30,7,1,7,0,0,0,0,2,3,0,2,0,5,토,393.0,26.0,0.0,0.0,0.0,206.0,118.0,0.0,69.0,0.0,1.0,4.0,4.0,260.14285714285717,241.4,False,3.5
2025-08-31,8,1,7,1,0,0,0,2,3,1,2,0,6,일,549.0,34.0,0.0,0.0,0.0,188.0,156.0,108.0,97.0,0.0,0.0,,0.0,296.85714285714283,269.3636363636364,False,3.4
2025-09-01,8,1,7,1,0,0,0,3,2,1,2,0,0,월,435.0,28.0,0.0,0.0,0.0,200.0,61.0,140.0,34.0,0.0,0.0,,0.0,328.14285714285717,283.1666666666667,False,3.4
2025-09-02,8,0,7,1,0,0,0,3,2,1,2,0,1,화,400.0,27.0,0.0,0.0,0.0,227.0,70.0,58.0,45.0,0.0,1.0,5.0,5.0,352.57142857142856,292.15384615384613,False,3.6666666666666665
2025-09-03,8,0,7,1,0,0,0,3,2,1,2,0,2,수,368.0,22.0,0.0,0.0,0.0,172.0,55.0,69.0,72.0,0.0,0.0,,0.0,375.85714285714283,297.57142857142856,False,3.8
2025-09-04,8,0,7,1,0,0,0,3,2,1,2,0,3,목,344.0,17.0,0.0,0.0,0.0,160.0,64.0,54.0,66.0,0.0,0.0,,0.0,393.7142857142857,300.6666666666667,False,3.75
2025-09-05,8,1,7,1,1,0,0,2,2,1,2,0,4,금,499.0,27.0,140.0,0.0,0.0,183.0,62.0,57.0,57.0,0.0,0.0,,0.0,426.85714285714283,313.0625,False,4.5
2025-09-06,11,3,10,1,1,1,1,3,2,1,2,0,5,토,802.0,49.0,78.0,137.0,81.0,318.0,46.0,74.0,68.0,0.0,1.0,4.0,4.0,485.2857142857143,341.8235294117647,False,4.5
